ABBREVIATION,NAME,CITY,CONFERENCE,DIVISION,longitude,latitude,
ATL,Atlanta Hawks,Atlanta,East,Southeast,-84.3879824,33.7489954,
BOS,Boston Celtics,Boston,East,Atlantic,-71.0588801,42.3600825,
NOP,New Orleans Pelicans,New Orleans,West,Southwest,-90.0715323,29.9510658,
CHI,Chicago Bulls,Chicago,East,Central,-87.6297982,41.8781136,
DAL,Dallas Mavericks,Dallas,West,Southwest,-96.7969879,32.7766642,
DEN,Denver Nuggets,Denver,West,Northwest,-104.990251,39.7392358,
HOU,Houston Rockets,Houston,West,Southwest,-95.3698028,29.7604267,
LAC,Los Angeles Clippers,Los Angeles,West,Pacific,-118.2436849,34.0522342,
LAL,Los Angeles Lakers,Los Angeles,West,Pacific,-118.2436849,34.0522342,
MIA,Miami Heat,Miami,East,Southeast,-80.1917902,25.7616798,
MIL,Milwaukee Bucks,Milwaukee,East,Central,-87.9064736,43.0389025,
MIN,Minnesota Timberwolves,Minneapolis,West,Northwest,-93.2650108,44.977753,
BKN,Brooklyn Nets,New York,East,Atlantic,-74.0059413,40.7127837,
NYK,New York Knicks,New York,East,Atlantic,-74.0059413,40.7127837,
ORL,Orlando Magic,Orlando,East,Southeast,-81.3792365,28.5383355,
IND,Indiana Pacers,Indianapolis,East,Central,-86.158068,39.768403,
PHI,Philadelphia 76ers,Philadelphia,East,Atlantic,-75.1652215,39.9525839,
PHX,Phoenix Suns,Phoenix,West,Pacific,-112.0740373,33.4483771,
POR,Portland Trail Blazers,Portland,West,Northwest,-122.6764816,45.5230622,
SAC,Sacramento Kings,Sacramento,West,Pacific,-121.4943996,38.5815719,
SAS,San Antonio Spurs,San Antonio,West,Southwest,-98.4936282,29.4241219,
OKC,Oklahoma City Thunder,Oklahoma City,West,Northwest,-97.5164276,35.4675602,
TOR,Toronto Raptors,Toronto,East,Atlantic,-79.347015,43.65107,
UTA,Utah Jazz,Salt Lake City,West,Northwest,-111.8910474,40.7607793,
MEM,Memphis Grizzlies,Memphis,West,Southwest,-90.0489801,35.1495343,
WAS,Washington Wizards,Washington,East,Southeast,-77.0368707,38.9071923,
DET,Detroit Pistons,Detroit,East,Central,-83.0457538,42.331427,
CHA,Charlotte Hornets,Charlotte,East,Southeast,-80.8431267,35.2270869,
CLE,Cleveland Cavaliers,Cleveland,East,Central,-81.6943605,41.49932,
GSW,Golden State Warriors,San Francisco,West,Pacific,-122.4194155,37.7749295,
