ABBREVIATION,NAME,CITY,CONFERENCE,DIVISION,longitude,latitude
ARI,Arizona Cardinals,Phoenix,NFC,West_NFC,-112.0740373,33.4483771
ATL,Atlanta Falcons,Atlanta,NFC,South_NFC,-84.3879824,33.7489954
BAL,Baltimore Ravens,Baltimore,AFC,North_AFC,-76.6121893,39.2903848
BUF,Buffalo Bills,Buffalo,AFC,East_AFC,-78.8783689,42.8864468
CAR,Carolina Panthers,Charlotte,NFC,South_NFC,-80.8431267,35.2270869
CHI,Chicago Bears,Chicago,NFC,North_NFC,-87.6297982,41.8781136
CIN,Cincinnati Bengals,Cincinnati,AFC,North_AFC,-84.5120196,39.1031182
CLE,Cleveland Browns,Cleveland,AFC,North_AFC,-81.6943605,41.49932
DAL,Dallas Cowboys,Dallas,NFC,East_NFC,-96.7969879,32.7766642
DEN,Denver Broncos,Denver,AFC,West_AFC,-104.990251,39.7392358
DET,Detroit Lions,Detroit,NFC,North_NFC,-83.0457538,42.331427
GB,Green Bay Packers,Green Bay,NFC,North_NFC,-88.019826,44.519159
HOU,Houston Texans,Houston,AFC,South_AFC,-95.3698028,29.7604267
IND,Indianapolis Colts,Indianapolis,AFC,South_AFC,-86.158068,39.768403
JAX,Jacksonville Jaguars,Jacksonville,AFC,South_AFC,-77.4302414,34.7540524
KC,Kansas City Chiefs,Kansas City,AFC,West_AFC,-94.6274636,39.114053
MIA,Miami Dolphins,Miami,AFC,East_AFC,-80.1917902,25.7616798
MIN,Minnesota Vikings,Minneapolis,NFC,North_NFC,-93.2650108,44.977753
NE,New England Patriots,Boston,AFC,East_AFC,-71.0588801,42.3600825
NO,New Orleans Saints,New Orleans,NFC,South_NFC,-90.0715323,29.9510658
NYG,NY Giants,New York,NFC,East_NFC,-74.0059413,40.7127837
NYJ,NY Jets,New York,AFC,East_AFC,-74.0059413,40.7127837
LV,Las Vegas Raiders,Las Vegas,AFC,West_AFC,-115.1398296,36.1699412
PHI,Philadelphia Eagles,Philadelphia,NFC,East_NFC,-75.1652215,39.9525839
PIT,Pittsburgh Steelers,Pittsburgh,AFC,North_AFC,-79.9958864,40.4406248
LAC,Los Angeles Chargers,Los Angeles,AFC,West_AFC,-118.2436849,34.0522342
SF,San Francisco 49ers,San Francisco,NFC,West_NFC,-122.4194155,37.7749295
SEA,Seattle Seahawks,Seattle,NFC,West_NFC,-122.3320708,47.6062095
LAR,Los Angeles Rams,Los Angeles,NFC,West_NFC,-118.2436849,34.0522342
TB,Tampa Bay Buccaneers,Tampa,NFC,South_NFC,-82.4571776,27.950575
TEN,Tennessee Titans,Nashville-Davidson,AFC,South_AFC,-86.7816016,36.1626638
WAS,Washington Redskins,Washington,NFC,East_NFC,-77.0368707,38.9071923
